period,timestamp,symbol,model,side,ctx_sub_label,phase,entry,sl,tp,exit_price,R
2026-01,2026-01-13 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,93584.0,93913.85964285716,92924.2807142857,93913.85964285716,-1.0
2026-01,2026-01-13 20:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94304.1,94566.30964285714,93779.68071428571,94566.30964285714,-1.0
2026-01,2026-01-13 14:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92419.1,92936.09785714286,91385.1042857143,92936.09785714286,-1.0
2026-01,2026-01-13 11:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92170.7,92710.82,91090.45999999998,92710.82,-1.0
2026-01,2026-01-13 21:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94300.8,94561.66857142856,93779.06285714288,94561.66857142856,-1.0
2026-01,2026-01-13 20:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94354.7,94563.83142857144,93936.43714285712,94563.83142857144,-1.0
2026-01,2026-01-13 21:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94047.9,94558.52714285714,93026.6457142857,94558.52714285714,-1.0
2026-01,2026-01-13 22:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95724.1,96747.04714285716,93678.20571428572,96747.04714285716,-1.0
2026-01,2026-01-14 00:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95427.1,96745.27392857143,92790.75214285716,96745.27392857143,-1.0
2026-01,2026-01-14 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95445.1,96743.46321428572,92848.3735714286,96743.46321428572,-1.0
2026-01,2026-01-13 23:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95350.0,96748.62107142856,92552.75785714286,96748.62107142856,-1.0
2026-01,2026-01-13 23:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95389.5,96746.265,92675.97,96746.265,-1.0
2026-01,2026-01-14 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96708.6,97164.71857142856,95796.36285714289,97164.71857142856,-1.0
2026-01,2026-01-14 15:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96707.8,97161.20214285716,95800.99571428572,97161.20214285716,-1.0
2026-01,2026-01-14 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97241.5,97750.19535714285,96224.10928571432,97750.19535714285,-1.0
2026-01,2026-01-14 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97209.2,97539.66285714286,96548.27428571427,97539.66285714286,-1.0
2026-01,2026-01-14 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96917.5,97842.73392857144,95067.03214285716,97842.73392857144,-1.0
2026-01,2026-01-14 18:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96985.3,97845.36107142858,95265.17785714286,97845.36107142858,-1.0
2026-01,2026-01-14 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96759.2,97851.66107142856,94574.27785714286,97851.66107142856,-1.0
2026-01,2026-01-14 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97216.4,97861.1175,95926.965,97861.1175,-1.0
2026-01,2026-01-04 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3146.84,3167.117357142857,3106.285285714286,3167.117357142857,-1.0
2026-01,2026-01-02 20:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3120.26,3154.43325,3051.913500000001,3154.43325,-1.0
2026-01,2026-01-02 19:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3122.6,3154.436142857143,3058.927714285714,3154.436142857143,-1.0
2026-01,2026-01-02 19:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3119.49,3154.4449285714286,3049.580142857142,3154.4449285714286,-1.0
2026-01,2026-01-04 03:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3142.02,3167.36775,3091.3245,3167.36775,-1.0
2026-01,2026-01-05 22:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3238.6,3268.9939642857144,3177.812071428571,3268.9939642857144,-1.0
2026-01,2026-01-04 04:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3148.54,3167.400964285714,3110.818071428572,3167.400964285714,-1.0
2026-01,2026-01-04 03:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3145.82,3167.4034285714283,3102.653142857144,3167.4034285714283,-1.0
2026-01,2026-01-05 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3185.3,3199.6315714285715,3156.636857142857,3199.6315714285715,-1.0
2026-01,2026-01-05 20:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3240.0,3269.597392857143,3180.805214285714,3269.597392857143,-1.0
2026-01,2026-01-05 21:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3236.59,3269.322142857143,3171.125714285715,3269.322142857143,-1.0
2026-01,2026-01-05 22:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3240.21,3269.2319285714284,3182.1661428571438,3269.2319285714284,-1.0
2026-01,2026-01-12 02:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3156.57,3169.823142857143,3130.0637142857145,3169.823142857143,-1.0
2026-01,2026-01-14 00:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3323.14,3387.3745357142857,3194.670928571428,3387.3745357142857,-1.0
2026-01,2026-01-13 23:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3324.22,3387.400035714286,3197.859928571428,3387.400035714286,-1.0
2026-01,2026-01-13 23:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3324.45,3387.4843571428573,3198.381285714285,3387.4843571428573,-1.0
2026-01,2026-01-13 22:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3329.55,3387.468392857143,3213.7132142857145,3387.468392857143,-1.0
2026-01,2026-01-14 00:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3325.95,3387.389964285714,3203.0700714285717,3387.389964285714,-1.0
2026-01,2026-01-14 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3335.58,3387.4028214285718,3231.934357142857,3387.4028214285718,-1.0
2026-01,2026-01-14 01:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3335.11,3387.325142857143,3230.6797142857145,3387.325142857143,-1.0
2026-01,2026-01-02 17:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,131.36,132.49346428571428,129.09307142857148,132.49346428571428,-1.0
2026-01,2026-01-02 16:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,130.84,131.91832142857143,128.68335714285715,131.91832142857143,-1.0
2026-01,2026-01-02 18:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,130.73,132.5093214285714,127.17135714285716,132.5093214285714,-1.0
2026-01,2026-01-04 00:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,133.89,135.05882142857143,131.5523571428571,135.05882142857143,-1.0
2026-01,2026-01-02 17:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,131.37,132.49828571428571,129.1134285714286,132.49828571428571,-1.0
2026-01,2026-01-02 18:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,131.71,132.49882142857143,130.13235714285716,132.49882142857143,-1.0
2026-01,2026-01-02 19:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,131.56,132.51285714285714,129.65428571428572,132.51285714285714,-1.0
2026-01,2026-01-02 19:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,131.42,132.51542857142857,129.22914285714282,132.51542857142857,-1.0
2026-01,2026-01-05 22:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,138.73,140.03289285714283,136.12421428571426,140.03289285714283,-1.0
2026-01,2026-01-05 22:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,138.53,140.04264285714285,135.5047142857143,140.04264285714285,-1.0
2026-01,2026-01-02 20:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,131.57,132.5135,129.683,132.5135,-1.0
2026-01,2026-01-04 03:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,133.93,135.08346428571429,131.62307142857145,135.08346428571429,-1.0
2026-01,2026-01-04 01:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,133.89,135.07617857142856,131.51764285714285,135.07617857142856,-1.0
2026-01,2026-01-04 01:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,133.86,135.07146428571428,131.43707142857147,135.07146428571428,-1.0
2026-01,2026-01-04 02:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,133.87,135.07682142857144,131.45635714285714,135.07682142857144,-1.0
2026-01,2026-01-04 02:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,133.68,135.081,130.87800000000004,135.081,-1.0
2026-01,2026-01-12 02:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,142.33,142.8515,141.28700000000006,142.8515,-1.0
2026-01,2026-01-12 02:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,142.05,142.85085714285714,140.44828571428576,142.85085714285714,-1.0
2026-01,2026-01-09 03:30:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,140.74,141.2782142857143,139.6635714285714,139.6635714285714,2.0
2026-01,2026-01-09 04:00:00+00:00,SOLUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,140.25,141.2799285714286,138.1901428571428,138.1901428571428,2.0
2026-01,2026-01-02 22:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.0136,2.0340017857142856,1.9727964285714283,2.0340017857142856,-1.0
2026-01,2026-01-02 22:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.0151,2.033916071428572,1.9774678571428568,2.033916071428572,-1.0
2026-01,2026-01-02 23:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.0074,2.033687857142857,1.954824285714286,2.033687857142857,-1.0
2026-01,2026-01-02 23:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.0063,2.0335517857142857,1.9517964285714284,2.0335517857142857,-1.0
2026-01,2026-01-02 18:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,1.978,2.0007475,1.932505,2.0007475,-1.0
2026-01,2026-01-05 20:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3154,2.3543964285714285,2.2374071428571427,2.3543964285714285,-1.0
2026-01,2026-01-05 19:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.2705,2.2783339285714286,2.2548321428571434,2.2783339285714286,-1.0
2026-01,2026-01-05 17:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.1777,2.1985575,2.135985,2.1985575,-1.0
2026-01,2026-01-05 02:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.1432,2.1685871428571426,2.0924257142857154,2.1685871428571426,-1.0
2026-01,2026-01-05 03:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.1411,2.1686042857142858,2.086091428571428,2.1686042857142858,-1.0
2026-01,2026-01-05 03:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.1419,2.168708214285714,2.088283571428572,2.168708214285714,-1.0
2026-01,2026-01-05 16:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.177,2.186867142857143,2.1572657142857143,2.186867142857143,-1.0
2026-01,2026-01-05 02:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.1392,2.1685785714285712,2.080442857142858,2.1685785714285712,-1.0
2026-01,2026-01-05 19:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.2773,2.2853260714285715,2.2612478571428567,2.2853260714285715,-1.0
2026-01,2026-01-05 23:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.347,2.3730467857142856,2.2949064285714287,2.3730467857142856,-1.0
2026-01,2026-01-05 22:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3344,2.354336428571429,2.294527142857143,2.354336428571429,-1.0
2026-01,2026-01-05 21:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3238,2.3545775,2.262245,2.3545775,-1.0
2026-01,2026-01-05 21:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3348,2.354414642857143,2.2955707142857142,2.354414642857143,-1.0
2026-01,2026-01-05 22:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3279,2.3543375,2.275025,2.3543375,-1.0
2026-01,2026-01-06 01:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.373,2.409442857142857,2.3001142857142867,2.409442857142857,-1.0
