i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
-1,0,2025-12-29T03:30:00+00:00,,,,0.0,0.0,0.0,10000.0
0,1,2025-12-29T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,100.0,200.0,10200.0
1,1,2025-12-29T03:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,102.0,204.0,10404.0
2,1,2025-12-29T04:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,104.04,-104.04,10299.96
3,1,2025-12-29T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,102.99959999999999,205.99919999999997,10505.9592
4,1,2025-12-29T04:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,105.059592,210.119184,10716.078383999999
5,1,2025-12-29T04:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,107.16078384,214.32156768,10930.399951679998
6,1,2025-12-29T05:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,109.30399951679998,218.60799903359995,11149.007950713598
7,1,2025-12-29T05:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,111.49007950713599,222.98015901427198,11371.98810972787
8,1,2025-12-29T05:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,113.7198810972787,227.4397621945574,11599.427871922428
9,1,2025-12-29T05:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,115.99427871922428,231.98855743844857,11831.416429360876
10,1,2025-12-29T06:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,118.31416429360875,236.6283285872175,12068.044757948093
11,1,2025-12-29T06:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,120.68044757948094,241.36089515896188,12309.405653107055
12,1,2025-12-29T06:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,123.09405653107055,246.1881130621411,12555.593766169195
13,1,2026-01-02T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,125.55593766169196,251.1118753233839,12806.70564149258
14,1,2026-01-02T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,128.0670564149258,-128.0670564149258,12678.638585077653
15,1,2026-01-02T09:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,126.78638585077654,253.57277170155308,12932.211356779206
16,1,2026-01-02T10:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,129.32211356779206,-129.32211356779206,12802.889243211413
17,1,2026-01-02T10:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,128.02889243211413,-128.02889243211413,12674.8603507793
18,1,2026-01-02T11:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,126.74860350779299,-126.74860350779299,12548.111747271507
19,1,2026-01-02T11:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,125.48111747271507,-125.48111747271507,12422.630629798792
20,1,2026-01-02T14:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,124.22630629798792,248.45261259597584,12671.083242394769
21,1,2026-01-02T14:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,126.71083242394769,253.42166484789539,12924.504907242665
22,1,2026-01-02T15:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,129.24504907242664,-129.24504907242664,12795.259858170239
23,1,2026-01-02T15:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,127.95259858170239,-127.95259858170239,12667.307259588537
24,1,2026-01-02T15:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,126.67307259588537,-126.67307259588537,12540.634186992651
25,1,2026-01-02T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,125.40634186992651,250.81268373985301,12791.446870732503
26,1,2026-01-02T16:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,127.91446870732503,-127.91446870732503,12663.532402025177
27,1,2026-01-02T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,126.63532402025177,-126.63532402025177,12536.897078004926
28,1,2026-01-02T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,125.36897078004927,250.73794156009853,12787.635019565025
29,1,2026-01-02T16:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,127.87635019565025,-127.87635019565025,12659.758669369374
30,1,2026-01-02T17:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,126.59758669369374,253.19517338738748,12912.95384275676
31,1,2026-01-02T17:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,129.1295384275676,258.2590768551352,13171.212919611895
32,1,2026-01-02T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,131.71212919611895,263.4242583922379,13434.637178004134
33,1,2026-01-02T17:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,134.34637178004135,-134.34637178004135,13300.290806224093
34,1,2026-01-02T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,133.00290806224092,-133.00290806224092,13167.287898161852
35,1,2026-01-02T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,131.67287898161854,263.3457579632371,13430.63365612509
36,1,2026-01-02T18:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,134.3063365612509,-134.3063365612509,13296.32731956384
37,1,2026-01-02T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,132.9632731956384,265.9265463912768,13562.253865955116
38,1,2026-01-02T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,135.62253865955117,-135.62253865955117,13426.631327295565
39,1,2026-01-02T19:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,134.26631327295564,-134.26631327295564,13292.36501402261
40,1,2026-01-02T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,132.9236501402261,265.8473002804522,13558.212314303062
41,1,2026-01-02T19:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,135.58212314303063,-135.58212314303063,13422.630191160031
42,1,2026-01-02T19:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,134.2263019116003,-134.2263019116003,13288.403889248431
43,1,2026-01-02T20:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,132.8840388924843,-132.8840388924843,13155.519850355948
44,1,2026-01-02T20:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,131.55519850355947,-131.55519850355947,13023.964651852388
45,1,2026-01-02T20:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.23964651852387,-130.23964651852387,12893.725005333863
46,1,2026-01-02T21:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,128.93725005333863,257.87450010667726,13151.59950544054
47,1,2026-01-02T22:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,131.5159950544054,-131.5159950544054,13020.083510386134
48,1,2026-01-02T22:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.20083510386135,-130.20083510386135,12889.882675282272
49,1,2026-01-02T23:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,128.8988267528227,-128.8988267528227,12760.98384852945
50,1,2026-01-02T23:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,127.6098384852945,-127.6098384852945,12633.374010044156
51,1,2026-01-03T00:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,126.33374010044156,252.66748020088312,12886.04149024504
52,1,2026-01-03T00:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,128.8604149024504,-128.8604149024504,12757.181075342589
53,1,2026-01-03T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,127.5718107534259,-127.5718107534259,12629.609264589162
54,1,2026-01-03T04:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,126.29609264589162,252.59218529178324,12882.201449880946
55,1,2026-01-03T04:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,128.82201449880947,257.64402899761893,13139.845478878564
56,1,2026-01-03T05:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,131.39845478878564,262.7969095775713,13402.642388456135
57,1,2026-01-03T05:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,134.02642388456135,-134.02642388456135,13268.615964571574
58,1,2026-01-04T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,132.68615964571575,-132.68615964571575,13135.929804925858
59,1,2026-01-04T00:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,131.35929804925857,262.71859609851714,13398.648401024375
60,1,2026-01-04T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,133.98648401024374,-133.98648401024374,13264.661917014131
61,1,2026-01-04T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,132.64661917014132,-132.64661917014132,13132.01529784399
62,1,2026-01-04T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,131.3201529784399,-131.3201529784399,13000.695144865549
63,1,2026-01-04T02:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,130.00695144865549,-130.00695144865549,12870.688193416894
64,1,2026-01-04T02:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,128.70688193416893,-128.70688193416893,12741.981311482725
65,1,2026-01-04T03:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,127.41981311482725,-127.41981311482725,12614.561498367897
66,1,2026-01-04T03:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,126.14561498367897,-126.14561498367897,12488.415883384218
67,1,2026-01-04T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,124.88415883384218,-124.88415883384218,12363.531724550376
68,1,2026-01-04T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,123.63531724550376,-123.63531724550376,12239.896407304872
69,1,2026-01-04T07:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,122.39896407304872,-122.39896407304872,12117.497443231823
70,1,2026-01-04T07:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,121.17497443231824,-121.17497443231824,11996.322468799504
71,1,2026-01-04T08:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,119.96322468799505,-119.96322468799505,11876.359244111509
72,1,2026-01-04T08:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,118.7635924411151,-118.7635924411151,11757.595651670394
73,1,2026-01-04T12:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,117.57595651670394,235.15191303340788,11992.7475647038
74,1,2026-01-04T12:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,119.92747564703801,239.85495129407602,12232.602515997876
75,1,2026-01-04T13:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,122.32602515997877,-122.32602515997877,12110.276490837898
76,1,2026-01-04T13:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,121.10276490837897,-121.10276490837897,11989.173725929519
77,1,2026-01-04T14:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,119.89173725929518,-119.89173725929518,11869.281988670224
78,1,2026-01-05T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,118.69281988670224,237.38563977340448,12106.667628443629
79,1,2026-01-05T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,121.0666762844363,242.1333525688726,12348.800981012502
80,1,2026-01-05T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,123.48800981012502,246.97601962025004,12595.777000632752
81,1,2026-01-05T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,125.95777000632752,-125.95777000632752,12469.819230626425
82,1,2026-01-05T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,124.69819230626425,249.3963846125285,12719.215615238953
83,1,2026-01-05T01:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,127.19215615238953,-127.19215615238953,12592.023459086564
84,1,2026-01-05T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,125.92023459086565,251.8404691817313,12843.863928268294
85,1,2026-01-05T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,128.43863928268294,-128.43863928268294,12715.42528898561
86,1,2026-01-05T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,127.15425288985611,-127.15425288985611,12588.271036095755
87,1,2026-01-05T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,125.88271036095756,251.76542072191512,12840.03645681767
88,1,2026-01-05T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,128.4003645681767,-128.4003645681767,12711.636092249493
89,1,2026-01-05T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,127.11636092249493,-127.11636092249493,12584.519731326998
90,1,2026-01-05T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,125.84519731326999,-125.84519731326999,12458.674534013728
91,1,2026-01-05T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,124.58674534013728,-124.58674534013728,12334.08778867359
92,1,2026-01-05T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,123.34087788673591,-123.34087788673591,12210.746910786855
93,1,2026-01-05T14:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,122.10746910786855,244.2149382157371,12454.961849002591
94,1,2026-01-05T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,124.54961849002592,-124.54961849002592,12330.412230512566
95,1,2026-01-05T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,123.30412230512566,246.60824461025132,12577.020475122818
96,1,2026-01-05T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,125.77020475122818,-125.77020475122818,12451.250270371589
97,1,2026-01-05T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,124.5125027037159,-124.5125027037159,12326.737767667873
98,1,2026-01-05T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,123.26737767667873,246.53475535335747,12573.27252302123
99,1,2026-01-05T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,125.73272523021231,-125.73272523021231,12447.539797791018
